Acaba, Joseph;1;M-US;STS-119;;;;
Acaba, Joseph;2;M-US;STS-119;;;;
Acton, Loren;1;M-US;STS-51F;;;;
Adamson, James;2;M-US;STS-28;Soyuz TMA-04M/30S;;;
Afanasyev, Viktor;4;M-USSR;Soyuz TM-11;;;;
Akers, Thomas;4;M-US;STS-41;Soyuz TM-18;;;
Akiyama, Toyohiro;1;M-Japan;Soyuz TM-11;;;;
Aksenov, Vladimir;2;M-USSR;Soyuz 22;STS-49;;;
Aldrin, Edwin;2;M-US;Gemini 12;;STS-61;STS-79;
Alexandrov, Alexander;1;M-Bulgaria;Soyuz TM-5;Soyuz T2;;;
Alexandrov, Alexander;2;M-USSR;Soyuz T9;Apollo 11;;;
Allen, Andrew;3;M-US;STS-46;;;;
Allen, Joseph;2;M-US;STS-5;Soyuz TM-3;;;
AlSaud, Sultan;1;M-S.Arabia;STS-62;;;;
Altman, Scott;4;M-US;STS-90;STS-51A;STS-75;;
Anders, William;1;M-US;Apollo 8;STS-51G;;;
Anderson, Clay;2;M-US;STS-117/ISS/120;STS-106;;;
Anderson, Michael;2;M-US;STS-89;;STS-109;STS-125;
Ansari, Anousheh;1;F-US;Soyuz TMA-09/taxi;STS-131;;;
Antonelli, Anthony;2;M-US;STS-119;STS-107;;;
Apt, Jay;4;M-US;STS-37;;;;
Archambault, Lee;2;M-US;STS-117;STS-132;;;
Armstrong, Neil;2;M-US;Gemini 8;STS-47;;;
Arnold, Richard;1;M-US;STS-119;STS-119;STS-59;STS-79;
Artsebarsky, Anatoly;1;M-USSR;Soyuz TM-12;Apollo 11;;;
Artyukhin, Yuri;1;M-USSR;Soyuz 14;;;;
Ashby, Jeff;3;M-US;STS-93;;;;
Atkov, Oleg;1;M-USSR;Soyuz T10;;;;
Aubakirov, Toktar;1;M-USSR;Soyuz TM-13;STS-100;;;
Avdeyev, Sergei;3;M-Russia;Soyuz TM-15;;STS-112;;
Bagian, James;2;M-US;STS-29;;;;
Baker, Ellen;3;F-US;STS-34;;;;
Baker, Michael;4;M-US;STS-43;STS-40;;;
Balandin, Alexander;1;M-USSR;Soyuz TM-9;STS-50;;;
Barratt, Michael;2;M-US;Soyuz TMA-14/18S;STS-52;STS-71;;
Barry, Daniel;3;M-US;STS-72;;STS-68;;
Bartoe, John-David;1;M-US;STS-51F;STS-133;;;
Baturin, Yuri;2;M-Russia;Soyuz TM-28;STS-96;;STS-81;
Baudry, Patrick;1;M-France;STS-51G;;STS-105;;
Bean, Alan;2;M-US;Apollo 12;Soyuz TM-32/2S;;;
Behnken, Robert;2;M-US;STS-123;;;;
Bella, Ivan;1;M-Slovakia;Soyuz TM-29;Skylab 3;;;
Belyayev, Pavel;1;M-USSR;Voskhod 2;STS-130;;;
Beregovoy, Georgi;1;M-USSR;Soyuz 3;;;;
Berezovoy, Anatoly;1;M-USSR;Soyuz T5-7;;;;
Binnie, Brian;1;M-US;SSO X2;;;;
Blaha, John;5;M-US;STS-29;;;;
Bloomfield, Michael;3;M-US;STS-86;STS-33;;;
Bluford, Guion;4;M-US;STS-8;;STS-43;;
Bobko, Karol;3;M-US;STS-6;STS-97;;;
Boe, Eric;2;M-US;STS-126;STS-61A;STS-110;;
Bolden, Charles;4;M-US;STS-61C;STS-51D;STS-39;;
Boming, Liu;1;M-China;Shenzhou 7;STS-133;STS-51J;;
Bondar, Roberta;1;F-Canada;STS-42;STS-31;;STS-53;
Borisenko, Andrey;1;M-Russia;Soyuz TMA-21/26S;;STS-45;;
Borman, Frank;2;M-US;Gemini 7;;;;
Bowen, Stephen;3;M-US;STS-126;;;STS-60;
Bowersox, Kenneth;5;M-US;STS-50;Apollo 8;;;
Brady, Charles;1;M-US;STS-78;STS-61;STS-133;;
Brand, Vance;4;M-US;ASTP;;STS-73;;
Brandenstein, Daniel;4;M-US;STS-8;;;;
Bresnik, Randolph;1;M-US;STS-129;STS-5;;;
Bridges, Roy;1;M-US;STS-51F;STS-51G;STS-41B;;
Brown, Curt;6;M-US;STS-47;;STS-32;;
Brown, David;1;M-US;STS-107;STS-66;;STS-49;
Brown, Mark;2;M-US;STS-28;;STS-77;;
Buchli, James;4;M-US;STS-51C;;;;
Buckey, Jay;1;M-US;STS-90;STS-48;;;
Budarin, Nikolai;3;M-Russia;STS-71/Mir19;STS-61A;;;
Burbank, Daniel;3;M-US;STS-106;Soyuz;;;
Bursch, Daniel;4;M-US;STS-51;;;STS-48;
Bykovsky, Valery;3;M-USSR;Vostok 5;STS-115;;;
Cabana, Robert;4;M-US;STS-41;Soyuz 22;STS-77;;
Caldwell Dyson, Tracy;2;F-US;STS-118;;Soyuz 31;;
Camarda, Charles;1;M-US;STS-114;STS-53;;STS-108/ISS/111;
Cameron, Kenneth;3;M-US;STS-37;Soyuz TMA-18/22S;STS-65;;
Carey, Duane;1;M-US;STS-109;;;;
Carpenter,Scott;1;M-US;Mercury 7;STS-56;;STS-88;
Carr, Gerald;1;M-US;Skylab 4;;STS-74;;
Carter, Manley;1;M-US;STS-33;;;;
Casper, John;4;M-US;STS-36;;;;
Cassidy, Christopher;1;M-US;STS-127;;;;
Cenker, Robert;1;M-US;STS-61C;STS-54;;;
Cernan, Eugene;3;M-US;Gemini 9;;STS-62;;
Chamitoff, Gregory;2;M-US;STS-124/ISS/126;;;;
Chang-Diaz, Franklin;7;M-US;STS-61C;Apollo 10;;STS-77;
Chawla, Kalpana;2;F-US;STS-87;STS-34;;;
Cheli, Maurizio;1;M-Italy;STS-75;STS-111;STS-46;;
Chiao, Leroy;4;M-US;STS-65;STS-107;;;
Chilton, Kevin;3;M-US;STS-49;;;;
Chretien, Jean-Loup;3;M-France;Soyuz T6;STS-72;;;
Clark, Laurel;1;F-US;STS-107;STS-59;STS-92;;
Cleave, Mary;2;F-US;STS-61B;Soyuz TM-7;STS-76;;
Clervoy, Jean-Francois;3;M-France;STS-66;;STS-86;Soyuz TMA-05/9S;
Clifford, Richard;3;M-US;STS-53;STS-30;;;
Coats, Michael;3;M-US;STS-41D;STS-84;;;
Cockrell, Kenneth;5;M-US;STS-56;STS-59;STS-103;;
Coleman, Catherine;3;F-US;STS-73;STS-69;STS-39;;
Collins, Eileen;4;F-US;STS-63;;STS-80;;
Collins, Michael;2;M-US;Gemini 10;STS-93;;;
Conrad, Charles;4;M-US;Gemini 5;STS-84;Soyuz TMA-20/25S;;
Cooper,  Gordon;2;M-US;Mercury 9;Gemini 11;;;
Covey, Richard;4;M-US;STS-51I;;Apollo 12;STS-114;
Creamer, Timothy;1;M-US;Soyuz TMA-17/21S;Gemini 5;;;
Creighton, John;3;M-US;STS-51G;STS-26;;;
Crippen, Robert;4;M-US;STS-1;;STS-38;;
Crouch, Roger;2;M-US;STS-83;STS-36;;;
Culbertson, Frank;3;M-US;STS-38;STS-7;STS-48;STS-61;
Cunningham, Walter;1;M-US;Apollo 7;STS-94;STS-41C;;
Curbeam, Robert;3;M-US;STS-85;STS-51;;;
Currie, Nancy;4;F-US;STS-57;;STS-105/ISS/108;STS-41G;
Davis, Jan;3;F-US;STS-47;STS-70;STS-116;;
DeLucas, Larry;1;M-US;STS-50;;STS-88;;
Demin, Lev;1;M-USSR;Soyuz 15;STS-60;;;
DeWinne, Frank;2;M-Belgium;Soyuz TMA-01/5S;;STS-85;STS-109;
Dezhurov, Vladimir;2;M-Russia;TM21/STS-71;;;;
Dobrovolsky, Georgy;1;M-USSR;Soyuz 11;Soyuz TMA-15/19S;;;
Doi, Takao;2;M-Japan;STS-87;STS-105/ISS/108;;;
Drew, Benjamin;2;M-US;STS-118;;;;
Duffy, Brian;4;M-US;STS-45;STS-123;;;
Duke, Charles;1;M-US;Apollo 16;STS-133;;;
Dunbar, Bonnie;5;F-US;STS-61A;STS-57;;;
Duque, Pedro;2;M-Spain;STS-95;STS-32;;;
Durrance, Samuel;2;M-US;STS-35;;;STS-92;
Dutton, James;1;M-US;STS-131;Soyuz TMA-03;;;
Dzhanibekov, Vladimir;5;M-USSR;Soyuz-27;STS-67;;;
Edwards, Joseph;1;M-US;STS-89;;Soyuz-T6;;
Eisele, Donn;1;M-US;Apollo 7;;;;
England, Anthony;1;M-US;STS-51F;;;;
Engle, Joseph;2;M-US;STS-2;;;;
Evans, Ronald;1;M-US;Apollo 17;;;;
Ewald, Reinhold;1;M-Germany;Soyuz TM-25;STS-51I;;;
Eyharts, Leopold;2;M-France;Soyuz TM-27;;;;
Fabian, John;2;M-US;STS-7;STS-122/ISS/123;;;
Faris, MA;1;M-Syria;Soyuz TM-3;;;;
Farkas, Bertalan;1;M-Hungary;Soyuz 36;STS-51G;;;
Favier, Jean-Jacques;1;M-France;STS-78;;;;
Feoktistov, Konstantin;1;M-USSR;Voskhod 1;;;;
Ferguson, Chris;3;M-US;STS-115;;;;
Fettman, Martin;1;M-US;STS-58;;;;
Feustel, Andrew;2;M-US;STS-125;STS-126;;;
Filipchenko, Anatoly;2;M-USSR;Soyuz 7;;STS-135;;
Fincke, Michael;3;M-US;Soyuz TMA-04/8S;STS-134;;;
Fisher, WIlliam;1;M-US;STS-51I;Soyuz TMA-13/17S;;;
Fisher,Anna;1;F-US;STS-51A;;;;
Flade, Klaus-Dietrich;1;M-Germany;Soyuz TM-14;;;;
Foale, Michael;6;M-US;STS-45;;;;
Ford, Kevin;2;M-US;STS-127;STS-56;;;
Foreman, Michael;2;M-US;STS-123;;STS-63;;
Forrester, Patrick;3;M-US;STS-105;Soyuz TMA-06M/32S;;;
Fossum, Michael;3;M-US;STS-121;STS-129;;;
Frick, Stephen;2;M-US;STS-110;STS-117;;;
Frimout, Dirk;1;M-Belgium;STS-45;STS-124;STS-127;;
Fuglesang, Christer;2;M-Sweden;STS-116;STS-122;Soyuz TMA-02M/27S;;
Fullerton, Gordon;2;M-US;STS-3;;;;
Furrer, Reinhard;1;M-Germany;STS-61A;STS-127;;;
Furukawa, Satoshi;1;M-Japan;Soyuz TMA-02M/27S;STS-51F;;;
Gaffney, Andrew;1;M-US;STS-40;;;;
Gagarin, Yuri;1;M-USSR;Vostok 1;;;;
Garan, Ronald;2;M-US;STS-124;;;;
Gardner, Dale;2;M-US;STS-8;;;;
Gardner, Guy;2;M-US;STS-27;Soyuz TMA-21/26S;;;
Garn, Jake;1;M-US;STS-51D;STS-51A;;;
Garneau, Marc;3;M-Canada;STS-41G;STS-35;;;
Garriott, Owen;2;M-US;Skylab 3;;;;
Garriott, Richard;1;M-US;Soyuz TMA-13/taxi;STS-77;;;
Gemar, Charles;3;M-US;STS-38;STS-9;STS-97;;
Gernhardt, Michael;4;M-US;STS-69;;;;
Gibson, Edward;1;M-US;Skylab 4;STS-48;;;
Gibson, Robert;5;M-US;STS-41B;STS-83;STS-62;;
Gidzenko, Yuri;3;M-Russia;Soyuz TM-22;STS-61C;;;
Glazkov, Yuri;1;M-USSR;Soyuz 24;Soyuz TM-31/1S;;;
Glenn, John;2;M-US;MA- 6;;;;
Godwin, Linda;4;F-US;STS-37;;;;
Good, Michael;2;M-US;STS-125;STS-95;;;
Gorbatko, Viktor;3;M-USSR;Soyuz 7;STS-59;;;
Gordon, Richard;2;M-US;Gemini 11;STS-132;STS-76;;
Gorie, Dominic;4;M-US;STS-91;Soyuz 24;;;
Grabe, Ronald;4;M-US;STS-51J;Apollo 12;Soyuz 37;STS-108;
Grechko, Georgy;3;M-USSR;Soyuz 17;STS-99;;;
Gregory, Frederick;3;M-US;STS-51B;STS-30;STS-108;;
Gregory, William;1;M-US;STS-67;Soyuz 26;STS-42;;
Griggs, David;1;M-US;STS-51D;STS-33;Soyuz T14;STS-123;
Grissom, Virgil;2;M-US;Mercury 4;;STS-44;STS-57;
Grunsfeld, John;5;M-US;STS-67;;;;
Gubarev, Alexei;2;M-USSR;Soyuz 17;STS-81;;;
Guidoni, Umberto;2;M-Italy;STS-75;;STS-103;;
Gurragcha, J;1;M-Mongolia;Soyuz 39;Soyuz 28;;;
Gutierrez, Sidney;2;M-US;STS-40;STS-100;;;
Hadfield, Chris;3;M-Canada;STS-74;STS-59;;;
Haigere, Jean-Pierre;2;M-France;Soyuz TM-17;;;;
Haignere, Claudie;2;F-France;Soyuz TM-24;STS-100;;;
Haipeng, Jing;2;M-China;Shenzhou 7;Soyuz TM-29;Soyuz TMA-07M/33S;;
Haise, Fred;1;M-US;Apollo 13;Soyuz TM-33/3S;;;
Haisheng, Nie;1;M-China;Shenzhou 6;Shenzhou 9;;;
Halsell, James;5;M-US;STS-65;;;;
Ham, Kenneth;2;M-US;STS-124;STS-74;;;
Hammond, Blaine;2;M-US;STS-39;;STS-83;;
Harbaugh, Gregory;4;M-US;STS-39;STS-132;;;
Harris, Bernard;2;M-US;STS-55;STS-64;;;
Hart, Terry;1;M-US;STS-41C;STS-54;;;
Hartsfield, Henry;3;M-US;STS-4;STS-63;STS-71;;
Hauck, Frederick;3;M-US;STS-7;;;;
Hawley, Stephen;5;M-US;STS-41D;STS-41D;;STS-82;
Helms, Susan;5;F-US;STS-54;STS-61C;STS-26;;
Henize, Karl;1;M-US;STS-51F;STS-64;;;
Hennen, Thomas;1;M-US;STS-44;;STS-78;;
Henricks, Terence;4;M-US;STS-44;;;;
Hermaszewski, M;1;M-Poland;Soyuz 30;;;STS-101;
Hernandez, Jose;1;M-US;STS-127;STS-55;;;
Herrington, John;1;M-US;STS-113;;STS-70;;
Hieb, Richard;3;M-US;STS-39;;;;
Higginbotham, Joan;1;F-US;STS-116;;;STS-78;
Hilmers, David;4;M-US;STS-51J;STS-49;;;
Hire, Kay;2;F-US;STS-90;;STS-65;;
Hobaugh, Charles;3;M-US;STS-104;STS-26;;;
Hoffman, Jeffrey;5;M-US;STS-51D;STS-130;STS-36;;
Horowitz, Scott;4;M-US;STS-75;STS-35;STS-129;STS-42;
Hoshide, Akihiko;2;M-Japan;STS-124;;STS-46;;
Hughes-Fulford, Millie;1;F-US;STS-40;STS-82;;;
Hurley, Douglas;2;M-US;STS-127;Soyuz TMA-05M/31S;STS-101;;
Husband, Rick;2;M-US;STS-96;;;;
Irwin, James;1;M-US;Apollo 15;STS-107;;;
Ivanchenkov, Alexander;2;M-USSR;Soyuz 29;;;;
Ivanishin, Anatoly;1;M-Russia;Soyuz TMA-22/28S;;;;
Ivanov, Georgi*;1;M-Bulgaria;Soyuz 33;Soyuz T-6;;;
Ivins, Marsha;5;F-US;STS-32;;;;
Jaehn, Sigmund;1;M-EGermany;Soyuz 31;STS-46;;;
Jemison, Mae;1;F-US;STS-47;;STS-62;;
Jernigan, Tamara;5;F-US;STS-40;;;;
Jett, Brent;4;M-US;STS-72;STS-52;;;
Johnson, Gregory C;1;M-US;STS-125;;STS-67;;
Johnson, Gregory H;2;M-US;STS-123;STS-81;;;
Jones, Thomas;4;M-US;STS-59;;STS-97;;
Junlong, Fei;1;M-China;Shenzhou 6;STS-134;;;
Kadenyuk, Leonid;1;M-Ukraine;STS-87;;STS-80;;
Kaleri, Alexander;5;M-Russia;Soyuz TM-14;;;;
Kavandi, Janet;3;F-US;STS-91;Soyuz TM-24;;;
Kelly, James M;2;M-US;STS-102;;Mir-28;;
Kelly, Mark;4;M-US;STS-108;STS-99;;;
Kelly, Scott;3;M-US;STS-103;STS-114;STS-104;;
Kerwin, Joseph P;1;M-US;Skylab 2;STS-121;;;
Khrunov, Yevgeny;1;M-USSR;Soyuz 4-5;STS-118;STS-124;;
Kilrain, Susan;2;F-US;STS-83;;Soyuz TMA-01M/24S;;
Kimbrough, Robert;1;M-US;STS-126;;;STS-134;
Kizim, Leonid;3;M-USSR;Soyuz T3;STS-94;;;
Klimuk, Pyotr;3;M-USSR;Soyuz 13;;;;
Komarov, Vladimir;2;M-USSR;Voskhod 1;Soyuz T10;;;
Kondakova, Elena;2;F-Russia;Soyuz TM-20;Soyuz 18;Soyuz T15;;
Kondratyev, Dmitri;1;M-Russia;Soyuz TMA-20/25S;Soyuz 1;Soyuz 30;;
Kononenko, Oleg;2;M-Russia;Soyuz TMA-12/16S;STS-84;;;
Kopra, Timothy;1;M-US;STS-127/ISS/128;;;;
Kornienko, Mikhail;1;M-Russia;Soyuz TMA-18/22S;Soyuz TMA-03M/29S;;;
Korzun, Valery;2;M-Russia;Soyuz TM-24;;;;
Kotov, Oleg;2;M-Russia;Soyuz TMA-10/14S;;;;
Kovalenok, Vladimir;3;M-USSR;Soyuz 25;STS-111/ISS/113;;;
Kozeev, Konstantin;1;M-Russia;Soyuz TM-33/3S;Soyuz TMA-17/21S;;;
Kregel, Kevin;4;M-US;STS-70;Soyuz 29;;;
Krikalev, Sergei;6;M-USSR;Soyuz TM-7;;Soyuz T4;;
Kubasov, Valery;3;M-USSR;Soyuz 6;Soyuz TM-12;STS-87;;
Kuipers, Andre;2;M-Netherlands;Soyuz TMA-04/8S;;STS-60;;
Laliberte, Guy;1;M-Canada;SoyuzTMA16;;;;
Laveikin, Alexander;1;M-USSR;Soyuz TM-2;;;;
Lawrence, Wendy;4;F-US;STS-67;;;;
Lazarev, Vasily;2;M-USSR;Soyuz 12;;;;
Lazutkin, Alexander;1;M-Russia;Soyuz TM-25;STS-86;;;
Lebedev, Valentin;2;M-USSR;Soyuz 13;Soyuz 18A;STS-91;;
Lee, Mark;4;M-US;STS-30;;;;
