Acaba, Joseph;1;M-US;STS-119;;;;
Leestma, David;3;M-US;STS-41G;Soyuz T5;;STS-114;
Lenoir, William;1;M-US;STS-5;STS-47;;;
Leonov, Alexei;2;M-USSR;Voskhod 2;STS-28;STS-54;;
Leslie, Fred;1;M-US;STS-73;;STS-45;;
Levchenko, Anatoly;1;M-USSR;Soyuz TM-4;Soyuz 19;;STS-82;
Lichtenberg, Byron;2;M-US;STS-9;;;;
Lind, Donald;1;M-US;STS-51B;;;;
Lindsey, Steven;5;M-US;STS-87;STS-45;;;
Linenger, Jerry;2;M-US;STS-64;STS-95;;;
Linnehan, Richard;4;M-US;STS-78;;STS-104;;
Linteris, Gregory;2;M-US;STS-83;81/Mir4/84;;;
Liwei, Yang;1;M-China;Shenzhou 1;STS-90;;;
Lockhart, Paul;2;M-US;STS-111;STS-94;STS-109;;
Lonchakov, Yuri;3;M-Russia;STS-100;;;;
Lopez-Alegria, Michael;4;M-US;STS-73;Soyuz TMA-01/5S;;;
Lounge, Michael;3;M-US;STS-51I;STS-92;;;
Lousma, Jack;2;M-US;Skylab 3;;STS-113;;
Love, Stanley;1;M-US;STS-122;STS-26;;;
Lovell, James;4;M-US;Gemini 7;STS-3;STS-35;;
Low, David;3;M-US;STS-32;Gemini 12;;;
Lu, Edward;3;M-US;STS-84;;Apollo 8;;
Lucid, Shannon;5;F-US;STS-51G;STS-43;;;
Lyakhov, Vladimir;3;M-USSR;Soyuz 32;STS-34;Soyuz TMA-02/6S;;
MacLean, Steve;2;M-Canada;STS-52;Soyuz T9;;;
Magnus, Sandra;3;F-US;STS-112;;Soyuz TM-6;;
Makarov, Oleg;4;M-USSR;Soyuz 12;STS-115;;;
Malenchenko, Yuri;5;M-Russia;Soyuz TM-19;Soyuz 18A;STS-135;;
Malerba, Franco;1;M-Italy;STS-46;;;;
Malyshev, Yuri;2;M-USSR;Soyuz T2;;;;
Manakov, Gennady;2;M-USSR;Soyuz TM-10;;;;
Manarov, Musa;2;M-USSR;Soyuz TM-4;Soyuz T11;;;
Marshburn, Thomas;2;M-US;STS-127;Soyuz TM-16;;;
Massamino, Michael;2;M-US;STS-109;Soyuz TM-11;;;
Mastracchio, Richard;3;M-US;STS-106;Soyuz TMA-07M/33S;;;
Mattingly, Thomas;3;M-US;Apollo 16;STS-125;;;
McArthur, Megan;1;F-US;STS-125;STS-118;;;
McArthur, William;4;M-US;STS-58;STS-4;STS-131;;
McBride, Jon;1;M-US;STS-41G;STS-74;;;
McCandless, Bruce;2;M-US;STS-41B;;STS-92;;
McCool, William;1;M-US;STS-107;;;;
McCulley, Michael;1;M-US;STS-34;STS-31;;;
McDivitt, James;2;M-US;Gemini 4;;;;
McMonagle, Donald;3;M-US;STS-39;;;;
McNair, Ronald;1;M-US;STS-41B;Apollo 9;;;
Meade, Carl;3;M-US;STS-38;STS-54;;;
Melnick, Bruce;2;M-US;STS-41;;STS-66;;
Melroy, Pamela;3;F-US;STS-92;STS-50;;;
Melvill, Michael;2;M-US;SSO;STS-49;STS-64;;
Melvin, Leland;2;M-US;STS-122;STS-112;;;
Mendez, Arnaldo;1;M-Cuba;Soyuz 38;SSO X1;STS-120;;
Merbold, Ulf;3;M-Germany;STS-9;STS-129;;;
Messerschmid, Ernst;1;M-Germany;STS-61A;;;;
Metcalf-Lind, Dottie;1;F-US;STS-42;;;;
Mitchell, Edgar;1;M-US;Apollo 14;;Soyuz TM-20;;
Mohmand, A;1;M-Afghanistan;Soyuz TM-6;STS-131;;;
Mohri, Mamoru;2;M-Japan;STS-47;;;;
Morgan, Barbara;1;F-US;STS-118;;;;
Morin, Lee;1;M-US;STS-110;STS-99;;;
Morukov, Boris;1;M-Russia;STS-106;;;;
Mukai, Chiaki;2;F-Japan;STS-65;;;;
Mullane, Michael;3;M-US;STS-41D;;;;
Musabayev, Talgat;3;M-Kazakhstan;Soyuz TM-19;STS-95;;;
Musgrave, Story;6;M-US;STS-6;Soyuz TM-27/Mir25;STS-36;;
Nagel, Steven;4;M-US;STS-51G;;STS-33;;
Nelson, George;3;M-US;STS-41C;;;;
Nelson, William;1;M-US;STS-61C;STS-61A;;STS-44;
Neri, Rodolfo;1;M-Mexico;STS-61B;STS-61C;STS-37;;
Nespoli, Paolo;2;M-Italy;STS-120;;STS-26;;
Newman, James;4;M-US;STS-51;;;STS-55;
Nicollier, Claude;4;M-Switzerland;STS-46;Soyuz TMA-20/25S;;;
Nikolayev, Andrian;2;M-USSR;Vostok 3;STS-61;STS-88;;
Noguchi, Soichi;2;M-Japan;STS-114;;STS-75;;
Noriega, Carlos;2;M-US;STS-84;Soyuz 9;;STS-109;
Novitsky, Oleg;1;M-Russia;Soyuz TMA-06M/32S;Soyuz TMA-17/21S;;;
Nowak, Lisa;1;F-US;STS-121;STS-97;;;
Nyberg, Karen;1;F-US;STS-124;;;;
O'Connor, Bryan;2;M-US;STS-61B;;;;
Ochoa, Ellen;4;F-US;STS-56;;;;
Ockels, Wubbo;1;M-Netherlands;STS-61A;STS-40;;;
Oefelein, William;1;M-US;STS-116;STS-66;;;
Olivas, John;2;M-US;STS-117;;STS-96;;
Olsen, Gregory;1;M-US;Soyuz TMA-07/taxi;;;;
Onizuka, Ellison;1;M-US;STS-51C;STS-127;;STS-110;
Onufrienko, Yuri;2;M-Russia;Mir21;;;;
Oswald, Stephen;3;M-US;STS-42;;;;
Overmyer, Robert;2;M-US;STS-5;STS-108/ISS/111;;;
Padalka, Gennady;4;M-Russia;Soyuz TM-28;STS-51B;STS-67;;
Pailes, William;1;M-US;STS-51J;Soyuz TMA-04/8S;;;
Parazynski, Scott;5;M-US;STS-66;;;;
Parise, Ronald;2;M-US;STS-35;STS-86;;;
Parker, Robert;2;M-US;STS-9;;STS-95;;
Patrick, Nicholas;2;M-US;STS-116;STS-67;;;
Patsayev, Viktor;1;M-USSR;Soyuz 11;STS-35;;;
Pawelczyk, James;1;M-US;STS-90;STS-130;;;
Payette, Julie;2;F-Canada;STS-96;;;;
Payton, Gary;1;M-US;STS-51C;;;;
Perrin, Philippe;1;M-France;STS-111;STS-127;;;
Peterson, Donald;1;M-US;STS-6;;;;
Pettit, Donald;3;M-US;STS-113/ISS/TMA-1;;;;
Phillips, John;3;M-US;STS-100;STS-126;;;
Piper, Heide;2;F-US;STS-115;;;;
Pogue, William;1;M-US;Skylab 4;Soyuz TMA-06/10S;;;
Poindexter, Alan;2;M-US;STS-122;STS-126;STS-119;;
Polansky, Mark;3;M-US;STS-98;;;;
Poleshchuk, Alexander;1;M-Russia;Soyuz TM-16;STS-131;;;
Polyakov, Valery;2;M-USSR;Soyuz TM-6;STS-116;;;
Pontes, Marcos;1;M-Brazil;Soyuz TMA-08/taxi;;STS-127;;
Popov, Leonid;3;M-USSR;Soyuz 35;Soyuz TM-18;;;
Popovich, Pavel;2;M-USSR;Vostok 4;;;;
Precourt, Charles;4;M-US;STS-55;Soyuz 40;;;
Prunariu, D;1;M-Romania;Soyuz 40;Soyuz 14;Soyuz T7;;
Ramon, Ilan;1;M-Israel;STS-107;;STS-84;;
Readdy, William;3;M-US;STS-42;;;;
Reightler, Kenneth;2;M-US;STS-48;;;STS-91;
Reilly, James;3;M-US;STS-89;STS-51;;;
Reisman, Garrett;2;M-US;STS-123/ISS/124;STS-60;STS-79;;
Reiter, Thomas;2;M-Germany;Soyuz TM-22;STS-104;;;
Remek, Vladimir;1;M-Czech;Soyuz 28;STS-132;STS-117;;
Resnik, Judith;1;F-US;STS-41D;STS-121/ISS/116;;;
Revin, Sergei;1;M-Russia;Soyuz TMA-04M/30S;;;;
Richards, Paul;1;M-US;STS-102;;;;
Richards, Richard;4;M-US;STS-28;;;;
Ride, Sally;2;F-US;STS-7;;;;
Robinson, Stephen;4;M-US;STS-85;STS-41;;;
Romanenko, Roman;2;M-Russia;Soyuz TMA-15/19S;STS-41G;STS-50;;
Romanenko, Yuri;3;M-USSR;Soyuz 26;STS-95;;;
Rominger, Kent;5;M-US;STS-73;Soyuz TMA-07M/33S;STS-114;STS-64;
Roosa, Stuart;1;M-US;Apollo 14;STS-80;Soyuz TM-2;STS-130;
Ross, Jerry;7;M-US;STS-61B;;STS-85;;
Rozhdestvensky, Valery;1;M-USSR;Soyuz 23;STS-27;;;
Rukavishnikov, Nikolai;3;M-USSR;Soyuz 10;;STS-37;;
Runco, Mario;3;M-US;STS-44;;;;
Ryumin, Valery;4;M-USSR;Soyuz 25;Soyuz 16;;STS-55;
Sacco, Albert;1;M-US;STS-73;Soyuz 32;STS-77;;
Samokutyaev, Alex;1;M-Russia;Soyuz TMA-21/26S;;Soyuz 35;;
Sarafanov, Gennadi;1;M-USSR;Soyuz 15;;;;
Satcher, Robert;1;M-US;STS-129;;;STS-91;
Savinykh, Viktor;3;M-USSR;Soyuz T4;;;;
Savitskaya, Svetlana;2;F-USSR;Soyuz T7;;;;
Schirra, Walter;3;M-US;Mercury 8;Soyuz T13;;;
Schlegel, Hans;2;M-Germany;STS-55;Soyuz T12;Soyuz TM-5;;
Schmitt, Harrison;1;M-US;Apollo 17;Gemini 6;;;
Schweickart, Russell;1;M-US;Apollo 9;STS-122;Apollo 7;;
Scobee, Francis;1;M-US;STS-41C;;;;
Scott, David;3;M-US;Gemini 8;;;;
Scott, Winston;2;M-US;STS-72;;;;
Scully-Power, Paul;1;M-US;STS-41G;Apollo 9;;;
Searfoss, Richard;3;M-US;STS-58;STS-87;Apollo 15;;
Seddon, Rhea;3;F-US;STS-51D;;;;
Sega, Ronald;2;M-US;STS-60;STS-76;;;
Sellers, Piers;3;M-US;STS-112;STS-40;STS-90;;
Serebrov, Alexander;4;M-USSR;Soyuz T7;STS-76;STS-58;;
Sevastianov, Vitaly;2;M-USSR;Soyuz 9;Soyuz T8;STS-132;;
Shargin, Yuri;1;M-Russia;Soyuz TMA-05/9S;;Soyuz TM-8;;
Sharipov, Salizhan;2;M-Russia;STS-89;Soyuz 18;;;
Sharma, Rakesh;1;M-India;Soyuz T11;;;;
Sharman, Helen;1;F-UK;Soyuz TM-12;Soyuz TMA-05/9S;;;
Shatalov, Vladimir;3;M-USSR;Soyuz 4;;;;
Shaw, Brewster;3;M-US;STS-9;;;;
Shepard, Alan;2;M-US;Mercury 3;Soyuz 8;;;
Shepherd, William;4;M-US;STS-27;STS-61B;Soyuz 10;;
Shkaplerov, Anton;1;M-Russia;Soyuz TMA-22/28S;Apollo 14;STS-28;;
Shonin, Georgy;1;M-USSR;Soyuz 6;STS-41;;;
Shriver, Loren;3;M-US;STS-51C;;STS-52;;
Shukor, S, Muszaphar;1;M-Malaysia;Soyuz TMA-11/taxi;;;;
Shuttleworth, Mark;1;M-S.Africa;STS-31;;Soyuz TM-31/1S;;
Simonyi, Charles;2;M-US;Soyuz TMA-10/taxi;;STS-46;;
Skripochka, Oleg;1;M-Russia;Soyuz TMA-01M/24S;Soyuz TM-34/taxi;;;
Skvortsov, Alexander;1;M-Russia;Soyuz TMA-18/22S;Soyuz TMA-14/taxi;;;
Slayton, Donald;1;M-US;ASTP;;;;
Smith, Steven;4;M-US;STS-68;;;;
Solovyev, Anatoly;5;M-USSR;Soyuz TM-5;;;;
Solovyov , Vladimir;2;M-USSR;Soyuz T10;Soyuz TM-9;STS-103;;
Spring, Sherwood;1;M-US;STS-61B;;Soyuz TM-15;;
Springer, Robert;2;M-US;STS-29;Soyuz T15;;STS-110;
Stafford, Thomas;4;M-US;Gemini 6;;;;
Stewart, Robert;2;M-US;STS-41B;STS-38;;;
Stott, Nicole;2;F-US;STS-128/ISS/129;Gemini 9;;;
Strekalov, Gennady;5;M-USSR;Soyuz T3;STS-51J;Apollo 10;;
Sturckow, Frederick;4;M-US;STS-95;Soyuz T8;;ASTP;
Sullivan, Kathryn;3;F-US;STS-41G;;Soyuz T11;;
Suraev, Maxim;1;M-Russia;Soyuz TMA-16/20S;STS-105;;;
Swanson, Steven;2;M-US;STS-117;STS-31;STS-117;;
Swigert, John;1;M-US;Apollo 13;;STS-45;;
Tani, Daniel;2;M-US;STS-108;;;;
Tanner, Joseph;4;M-US;STS-66;;;;
Tarelkin, Evgeny;1;M-Russia;Soyuz TMA-06M/32S;STS-120/ISS/122;;;
Tereshkova, Valentina;1;F-USSR;Vostok 6;STS-82;;;
Thagard, Norman;5;M-US;STS-7;;STS-97;;
Thiele, Gerhard;1;M-Germany;STS-99;STS-51B;;STS-115;
Thirsk, Robert;2;M-Canada;STS-78;;STS-30;;
Thomas, Andrew;4;M-US;STS-77;;;;
Thomas, Donald;4;M-US;STS-65;Soyuz TMA-15/19S;;STS-42;
Thornton, Kathryn;4;F-US;STS-33;89/Mir7/91;;;
Thornton, William;2;M-US;STS-8;STS-70;STS-102;;
Thuot, Pierre;3;M-US;STS-36;STS-49;STS-83;;
Tito, Dennis;1;M-US;Soyuz TM-32/taxi;STS-51B;STS-61;STS-114;
Titov, Gherman;1;M-USSR;Vostok 2;STS-49;;STS-94;
Titov, Vladimir;4;M-USSR;Soyuz T8;;STS-62;STS-73;
Tognini, Michel;2;M-France;Soyuz TM-15;;;;
Tokarev, Valery;2;M-Russia;STS-96;Soyuz TM-4;;;
Treschev, Sergei;1;M-Russia;STS-111/ISS/113;STS-93;STS-63;;
Trinh, Eugene;1;M-US;STS-50;Soyuz TMA-07/11S;;;
Truly, Richard;2;M-US;STS-2;;;STS-86;
Tryggvason, Bjarni;1;M-Canada;STS-85;;;;
Tsibliyev, Vasily;2;M-Russia;Soyuz TM-17;STS-8;;;
Tuan, Pham;1;M-Vietnam;Soyuz 37;;;;
Tyurin, Mikhail;2;M-Russia;STS-105/ISS/108;Soyuz TM-25;;;
Usachev, Yuri;4;M-Russia;Soyuz TM-18;Soyuz TMA-09/13S;;;
van den Berg, Lodewijk;1;M-US;STS-51B;;STS-101;;
van Hoften, James;2;M-US;STS-41C;;;;
Vasyutin, Vladimir;1;M-USSR;Soyuz T14;;;;
Veach, Charles;2;M-US;STS-39;STS-51I;;;
Viehboeck, Franz;1;M-Austria;Soyuz TM-13;;;;
Viktorenko, Alexander;4;M-USSR;Soyuz TM-3;STS-52;;;
Vinogradov, Pavel;2;M-Russia;Soyuz TM-26;Soyuz TM-8;;;
Virts, Terry;1;M-US;STS-130;;;;
Vittori, Roberto;3;M-Italy;Soyuz TM-34/4S;Soyuz TMA-08/12S;;;
Volk, Igor;1;M-USSR;Soyuz T12;Soyuz TMA-06/10S;;;
Volkov, Alexander;3;M-USSR;Soyuz T14;;;;
Volkov, Sergey;2;M-Russia;Soyuz TMA-12/16S;;;;
Volkov, Vladislav;2;M-USSR;Soyuz 7;Soyuz TM-7;;;
Volynov, Boris;2;M-USSR;Soyuz 5;Soyuz TMA-02M/27S;Soyuz TM-13;;
Voss,  James;5;M-US;STS-44;Soyuz 11;;;
Voss, Janice;5;F-US;STS-57;STS-53;;;
Wakata, Koichi;3;M-Japan;STS-72;STS-63;;;
Walheim, Rex;3;M-US;STS-110;;STS-83;;
Walker, Charles;3;M-US;STS-41D;STS-92;;;
Walker, David;4;M-US;STS-51A;STS-122;STS-119/ISS/127;STS-94;STS-99
Walker, Joseph;2;M-US;X-15;STS-51D;STS-135;;
Walker, Shannon;1;F-US;Soyuz TMA-19/23S;STS-30;STS-61B;;
Walter, Ulrich;1;M-Germany;STS-55;X-15;STS-53;;
Walz, Carl;4;M-US;STS-51;;;;
Wang, Liu;1;M-China;Shenzhou 9;;;STS-69;
Wang, Taylor;1;M-US;STS-51B;STS-65;;;
Weber, Mary Ellen;2;F-US;STS-70;;STS-79;;
Weitz, Paul;2;M-US;Skylab 2;;;;
Wetherbee, James;6;M-US;STS-32;STS-101;;STS-108/ISS/111;
Wheelock, Douglas;2;M-US;STS-120;STS-52;;;
White, Edward;1;M-US;Gemini 4;;STS-63;;
Whitson, Peggy;2;F-US;STS-111/ISS/113;Soyuz TMA-19/23S;;;
Wilcutt, Terrence;4;M-US;STS-68;;;STS-86;
Williams, Dafydd;2;M-Canada;STS-90;Soyuz TMA-11/15S;;;
Williams, Donald;2;M-US;STS-51D;STS-79;;;
Williams, Jeffrey;3;M-US;STS-101;STS-118;STS-89;;
Williams, Sunita;2;F-US;STS-116/ISS/117;Soyuz TMA-08/12S;;STS-106;
Wilmore, Barry;1;M-US;STS-129;;;;
Wilson, Stephanie;3;F-US;STS-121;Soyuz TMA-05M/31S;;;
Wisoff, Jeff;4;M-US;STS-57;;;;
Wolf, David;4;M-US;STS-58;STS-120;;;
Worden, Alfred;1;M-US;Apollo 15;STS-68;STS-131;;
Yamazaki, Naoko;1;F-Japan;SS-131;;STS-112;;
Yang, Liu;1;F-China;Shenzhou 9;;;STS-92;
Yegorov, Boris;1;M-USSR;Voskhod 1;;;STS-127;
Yeliseyev, Alexei;3;M-USSR;Soyuz 4;;;;
Yi, So-Yeon;1;F-S.Korea;;;;;
Young, John;6;M-US;Gemini 3;Soyuz 8;;;
Yurchikhin, Fyodor;3;M-Russia;STS-112;Gemini 10;;;
Zalyotin, Sergei;2;M-Russia;Mir-28;Soyuz TMA-10/14S;;;
Zamka, George;2;M-US;STS-120;;;;
Zhigang,Zhai;1;M-China;Shenzhou 7;Soyuz TMA-01/5S;;;
Zholobov, Vitaly;1;M-USSR;Soyuz 21;STS-130;;;
Zudov,Vyacheslav;1;M-USSR;Soyuz 23;;;;
